plant_id,water_node_id,distance_km,distance_rank,delivered_cost_cny_per_m3,year,flow_m3,centroid_longitude,centroid_latitude,province_name
P0035,WC_0058_0015_F,59.27,1,6.9636,2030,36101042.9328,117.78143773571428,30.986382207142857,Anhui
P0036,WC_0060_0015_F,40.29,1,6.0144,2030,44071466.3277,121.25921157285715,31.52313884714286,Jiangsu
P0037,WC_0056_0020_D,51.98,1,6.5992,2030,3102894.25621572,111.63531936666668,40.73734619444445,Inner Mongolia
P0037,WC_0056_0020_K,116.87,4,9.8436,2030,2998483.77778428,111.63531936666668,40.73734619444445,Inner Mongolia
P0038,WC_0053_0015_F,64.82,1,7.241,2030,42065211.2256,106.77105626666668,30.466155083333334,Sichuan
P0039,WC_0061_0023_A,55.15,1,6.7575,2030,10210771.5075,123.69026015555556,47.216015733333336,Heilongjiang
P0040,WC_0056_0018_D,72.54,1,7.6271,2030,3333941.4137106333,112.39579644705884,37.87612592941177,Shanxi
P0040,WC_0055_0018_D,163.05,5,12.1526,2030,2078106.118789366,112.39579644705884,37.87612592941177,Shanxi
P0041,WC_0057_0019_C,41.84,1,6.0922,2030,3524680.973048554,115.42118525333336,38.861997093333336,Hebei
P0042,WC_0059_0017_E,166.51,7,12.3257,2030,39380802.777600005,117.7747333,36.10888457777778,Shandong
P0043,WC_0058_0016_E,83.92,1,8.196,2030,28234849.240046173,116.754942764,33.761710992,Anhui
P0043,WC_0057_0016_E,186.08,4,13.304,2030,78463332.04995383,116.754942764,33.761710992,Anhui
P0044,WC_0062_0023_A,60.8,1,7.0398,2030,15036073.659000004,124.97499467692306,46.49802851538463,Heilongjiang
P0045,WC_0056_0017_D,4.72,1,4.2358,2030,19186033.985710435,112.67363529032258,35.190280632258066,Henan
P0045,WC_0056_0017_E,109.66,3,9.4832,2030,10192858.626641573,112.67363529032258,35.190280632258066,Henan
P0045,WC_0055_0017_D,160.81,4,12.0404,2030,4192359.705554747,112.67363529032258,35.190280632258066,Henan
P0046,WC_0061_0014_G,47.33,1,6.3665,2030,19341981.962688,121.86577418444443,30.01492672666668,Zhejiang
P0047,WC_0060_0020_A,23.51,1,5.1756,2030,7852485.541599997,120.95330144285712,41.001320185714285,Liaoning
P0048,WC_0055_0018_D,137.1,3,10.8551,2030,1037007.9999999999,111.1116265,38.213208,Shanxi
P0049,WC_0044_0021_K,55.29,1,6.7647,2030,2264351.8396721412,88.9060775,42.808315,Xinjiang
P0050,WC_0057_0016_E,185.3,5,13.2652,2030,11358897.76,115.4996139,34.5444303,Henan
P0051,WC_0057_0019_C,111.77,1,9.5887,2030,12671937.453751775,114.29729676999996,38.11601805999999,Hebei
P0051,WC_0056_0019_C,131.1,2,10.5548,2030,15443619.483248224,114.29729676999996,38.11601805999999,Hebei
P0052,WC_0060_0016_F,55.33,1,6.7666,2030,35465933.20944212,120.36732789473685,31.886977849122808,Jiangsu
P0052,WC_0060_0015_F,87.46,2,8.3729,2030,51085471.958057866,120.36732789473685,31.886977849122808,Jiangsu
P0053,WC_0065_0022_A,38.3,1,5.9149,2030,19576998.0,130.88350004444445,45.52289057777777,Heilongjiang
P0054,WC_0057_0020_C,37.42,1,5.8709,2030,16007390.825922638,114.86662302857142,40.658597571428565,Hebei
P0055,WC_0055_0017_D,62.43,1,7.1214,2030,3074682.425,110.291820675,34.722310675,Shanxi
P0056,WC_0057_0012_F,48.04,1,6.4021,2030,22240089.129599996,114.6474855,25.235139166666663,Jiangxi
P0057,WC_0051_0017_D,148.78,2,11.4388,2030,6581694.016,103.63660057777776,36.10173662222222,Gansu
P0058,WC_0059_0017_E,69.6,1,7.4799,2030,2008739.952761216,119.50311133333334,34.54334577777778,Jiangsu
P0058,WC_0060_0017_E,75.9,2,7.7948,2030,10038390.737238787,119.50311133333334,34.54334577777778,Jiangsu
P0059,WC_0055_0020_D,73.9,1,7.6949,2030,10845385.095932173,111.26340109523812,39.86658994761905,Inner Mongolia
P0059,WC_0056_0020_K,191.78,6,13.5892,2030,5591851.440853463,111.26340109523812,39.86658994761905,Inner Mongolia
P0059,WC_0056_0019_C,197.18,7,13.8588,2030,250367.18221435984,111.26340109523812,39.86658994761905,Inner Mongolia
P0060,WC_0059_0017_E,55.61,1,6.7806,2030,14403436.36992,119.34751615999998,35.25980932000001,Shandong
P0061,WC_0059_0018_E,36.02,1,5.8008,2030,3184893.885600001,118.8704271357143,36.916450514285714,Shandong
P0062,WC_0043_0020_K,93.72,1,8.6862,2030,3118103.8114908165,86.38826449999999,41.9057335,Xinjiang
P0063,WC_0052_0019_D,41.07,1,6.0533,2030,464330.4852118823,105.99086423333333,38.5674425,Ningxia
P0063,WC_0052_0019_K,91.09,3,8.5544,2030,1146320.6491881178,105.99086423333333,38.5674425,Ningxia
P0064,WC_0058_0018_C,55.41,1,6.7706,2030,3184675.8306000032,116.30790365,37.390696166666665,Shandong
P0065,WC_0042_0022_K,34.72,1,5.7361,2030,9149293.581478443,84.88765941000001,44.51353533,Xinjiang
P0066,WC_0059_0012_G,45.41,1,6.2705,2030,2678435.39904,119.05258655555556,25.21517051111111,Fujian
P0067,WC_0059_0020_A,135.14,3,10.7571,2030,11995434.14145769,119.67226051428575,39.97792042857143,Hebei
P0067,WC_0060_0020_A,165.72,4,12.2861,2030,11363261.052142309,119.67226051428575,39.97792042857143,Hebei
P0068,WC_0060_0013_G,49.67,1,6.4837,2030,501542.4624,120.60543628,27.43325004,Zhejiang
P0069,WC_0054_0017_D,8.29,1,4.4146,2030,3122143.9999999995,109.10067892,34.81815216,Shaanxi
P0070,WC_0057_0017_E,63.77,1,7.1887,2030,35935673.3328,115.56860472222225,35.294208722222216,Shandong
P0071,WC_0052_0013_H,22.82,1,5.1412,2030,27445891.214919005,104.54053204,26.182950060000003,Guizhou
P0071,WC_0052_0012_H,130.07,3,10.5035,2030,17604087.785080995,104.54053204,26.182950060000003,Guizhou
P0072,WC_0065_0023_A,57.51,1,6.8756,2030,9517176.0,131.41872039999998,46.6215169,Heilongjiang
P0073,WC_0061_0020_A,48.07,1,6.4036,2030,9631874.948499998,123.4034578352941,41.25218117647059,Liaoning
P0074,WC_0055_0019_D,61.61,1,7.0807,2030,5700113.73,110.42589608333331,39.17701975,Shaanxi
P0075,WC_0057_0016_E,95.0,1,8.7499,2030,10762084.08,114.316042,33.5464985,Henan
P0076,WC_0054_0011_H,90.37,1,8.5185,2030,15793444.139200002,109.2172239,23.73486028181818,Guangxi
P0077,WC_0046_0021_K,93.6,1,8.68,2030,4120476.2876918297,93.31052133333334,42.51244766666667,Xinjiang
P0077,WC_0047_0021_K,136.56,2,10.8278,2030,1834837.205108173,93.31052133333334,42.51244766666667,Xinjiang
P0078,WC_0063_0022_A,93.3,1,8.6652,2030,24092696.259,126.63870604615386,45.738477292307685,Heilongjiang
P0079,WC_0054_0010_H,33.81,1,5.6905,2030,2886090.0431999997,108.5689820142857,21.687818557142855,Guangxi
P0080,WC_0058_0017_E,23.9,1,5.1952,2030,12879069.806173362,117.27766755263158,34.90857122631579,Shandong
P0080,WC_0059_0017_E,147.63,3,11.3816,2030,22744531.93282664,117.27766755263158,34.90857122631579,Shandong
P0081,WC_0052_0017_D,183.33,5,13.1664,2030,4406500.960120228,103.91035866666664,36.588604333333336,Gansu
P0082,WC_0060_0021_A,104.91,1,9.2454,2030,14712821.499999996,121.61303683333335,41.93595583333334,Liaoning
P0083,WC_0055_0019_D,29.81,1,5.4904,2030,6855863.722870984,111.14797504615385,39.20309480769231,Shaanxi
P0083,WC_0056_0019_C,181.34,5,13.0671,2030,1496239.0551290151,111.14797504615385,39.20309480769231,Shaanxi
P0084,WC_0054_0017_D,63.86,1,7.1931,2030,14461893.534000002,109.748516175,35.0326723,Shaanxi
P0085,WC_0059_0016_E,192.11,5,13.6053,2030,58944513.285000004,117.38812471428572,34.37115052380951,Jiangsu
P0086,WC_0054_0019_D,86.29,1,8.3145,2030,4476678.557905475,110.0859333375,38.66187655,Shaanxi
P0086,WC_0055_0019_D,90.93,2,8.5463,2030,1007756.7775518841,110.0859333375,38.66187655,Shaanxi
P0086,WC_0056_0019_D,188.03,3,13.4017,2030,1663323.0845426368,110.0859333375,38.66187655,Shaanxi
P0087,WC_0058_0020_C,102.95,2,9.1476,2030,20384800.111,117.62799128888888,39.96386984444444,Hebei
P0088,WC_0059_0015_F,96.46,1,8.823,2030,13573330.542000001,119.906331,31.112822777777776,Zhejiang
P0089,WC_0053_0019_D,72.54,1,7.6268,2030,9669355.982979897,106.63083476923076,38.09433597948717,Ningxia
P0089,WC_0053_0018_D,143.27,3,11.1635,2030,8119929.283520104,106.63083476923076,38.09433597948717,Ningxia
P0090,WC_0056_0011_H,56.6,1,6.8301,2030,31231716.465960003,113.5348139151515,22.942231745454546,Guangdong
P0091,WC_0056_0012_H,50.63,1,6.5315,2030,21797702.389799997,113.56754175384616,24.69749064615385,Guangdong
P0092,WC_0057_0013_F,101.84,1,9.0919,2030,37283376.599999994,114.79901501111112,27.92697431111111,Jiangxi
P0093,WC_0056_0014_F,61.68,1,7.084,2030,11858955.42375,113.08135288,29.48292738,Hunan
P0094,WC_0058_0011_G,43.65,1,6.1824,2030,12982614.12,117.65712922941177,23.87389818235294,Fujian
P0095,WC_0058_0015_F,111.08,2,9.5538,2030,26669376.826800004,117.48208799999998,31.780410714285715,Anhui
P0096,WC_0058_0012_H,58.57,1,6.9284,2030,29292635.429799996,116.39166080000004,24.39771004,Guangdong
P0097,WC_0052_0018_D,51.4,1,6.5702,2030,5352914.880246289,104.7610385,36.7300795,Gansu
P0097,WC_0052_0017_D,168.8,3,12.44,2030,10225140.732553711,104.7610385,36.7300795,Gansu
P0098,WC_0044_0022_K,22.64,1,5.1322,2030,11890768.007124756,89.16161844384615,44.78648652673076,Xinjiang
P0098,WC_0045_0022_K,123.56,2,10.1781,2030,3154363.9809685047,89.16161844384615,44.78648652673076,Xinjiang
P0098,WC_0043_0022_K,178.81,4,12.9404,2030,3616379.020706738,89.16161844384615,44.78648652673076,Xinjiang
P0099,WC_0052_0014_F,58.57,1,6.9286,2030,8843627.999999996,105.03624913333331,29.5345342,Sichuan
P0100,WC_0058_0014_F,67.52,1,7.3761,2030,25547379.695999995,117.10249263333333,28.3432053,Jiangxi
P0101,WC_0050_0018_D,43.56,1,6.1781,2030,8736107.672190795,101.65731172727271,36.79799763636363,Qinghai
P0101,WC_0051_0018_D,99.26,2,8.9631,2030,5880901.872794208,101.65731172727271,36.79799763636363,Qinghai
P0101,WC_0050_0018_K,102.31,3,9.1154,2030,11167108.615989188,101.65731172727271,36.79799763636363,Qinghai
P0102,WC_0055_0014_F,78.73,1,7.9363,2030,8793900.5616,111.3662008,29.594144733333334,Hunan
P0103,WC_0054_0020_D,158.35,4,11.9175,2030,3550528.2899999972,109.88846628571426,39.71318328571429,Inner Mongolia
P0104,WC_0059_0022_A,53.92,1,6.6961,2030,3364775.3729999997,118.61048795,44.8662699,Inner Mongolia
P0105,WC_0062_0020_A,137.61,1,10.8807,2030,3739475.207,124.23231075,39.97204075,Liaoning
P0106,WC_0057_0015_F,39.11,1,5.9555,2030,33347630.03999999,114.611121304,30.616741076000004,Hubei
P0107,WC_0060_0019_A,54.54,1,6.727,2030,6108319.239313317,121.7068036210526,39.02835461052631,Liaoning
P0107,WC_0061_0019_A,105.6,2,9.2801,2030,8025106.701692474,121.7068036210526,39.02835461052631,Liaoning
P0108,WC_0055_0010_H,35.5,1,5.7749,2030,2914558.7472,110.43623373846152,21.178269200000003,Guangdong
P0109,WC_0053_0017_D,72.19,1,7.6094,2030,5283430.032,107.89730960769232,35.14298256153846,Shaanxi
P0110,WC_0052_0012_H,35.76,1,5.7882,2030,108349889.6298,104.76878606666668,25.310301483333333,Guizhou
P0111,WC_0055_0011_H,117.76,1,9.8882,2030,1358686.9405199997,109.99253175,22.4336885,Guangxi
P0113,WC_0058_0021_C,50.45,1,6.5227,2030,3899170.378853344,116.21173066666664,42.22019666666666,Inner Mongolia
P0113,WC_0057_0021_K,119.23,2,9.9614,2030,11222334.384768281,116.21173066666664,42.22019666666666,Inner Mongolia
P0114,WC_0054_0010_H,76.42,1,7.8211,2030,1925400.2767999999,109.61024596666668,21.59652003333333,Guangxi
P0115,WC_0059_0017_E,56.51,1,6.8257,2030,13946091.3018,118.2819026,34.988247133333324,Shandong
P0116,WC_0061_0020_A,95.89,1,8.7947,2030,747771.0133999997,122.04982786666666,41.17928143333334,Liaoning
P0117,WC_0056_0016_F,63.02,1,7.151,2030,15057817.9232,112.59986043333332,33.21598703333334,Henan
P0118,WC_0061_0020_A,115.92,2,9.7959,2030,31038453.50079999,123.71805184166664,41.817224116666665,Liaoning
P0119,WC_0052_0013_F,59.66,2,6.983,2030,50068850.474999994,105.02177205882354,26.63320383529412,Guizhou
P0120,WC_0059_0024_A,67.79,1,7.3896,2030,4024898.109999999,119.81555575,48.5947915,Inner Mongolia
P0121,WC_0057_0011_H,63.74,1,7.1869,2030,6408341.690400001,114.86316415,22.7171561,Guangdong
P0122,WC_0054_0018_D,156.36,3,11.8179,2030,4564225.102000001,109.62005655238094,38.22282690476191,Shaanxi
P0123,WC_0056_0018_C,96.72,2,8.8362,2030,5380317.347600006,114.46096423333331,36.70211735555555,Hebei
P0124,WC_0056_0017_E,20.31,1,5.0156,2030,6850782.744890701,113.31786984347823,34.562298121739126,Henan
P0124,WC_0056_0016_E,151.79,5,11.5894,2030,57701884.3395093,113.31786984347823,34.562298121739126,Henan
P0125,WC_0043_0021_K,106.08,1,9.3042,2030,10882363.218496487,87.58797759459459,44.02529907567568,Xinjiang
P0126,WC_0059_0016_F,48.56,1,6.4278,2030,39954451.46744855,119.5260382647059,32.21680167647058,Jiangsu
P0126,WC_0059_0016_E,127.59,3,10.3794,2030,16770879.613151457,119.5260382647059,32.21680167647058,Jiangsu
P0127,WC_0058_0020_C,69.34,1,7.4668,2030,8606936.832675043,117.81527714285714,40.78629914285714,Hebei
P0127,WC_0059_0020_A,134.4,3,10.7202,2030,5816449.417324959,117.81527714285714,40.78629914285714,Hebei
P0128,WC_0039_0018_K,98.36,1,8.9181,2030,1847225.7670570607,79.94897945,37.21687335,Xinjiang
P0129,WC_0053_0019_K,59.29,1,6.9644,2030,366486.3477037029,106.8149754842105,39.44216274385965,Inner Mongolia
P0129,WC_0052_0019_K,157.73,3,11.8866,2030,1216395.8853053525,106.8149754842105,39.44216274385965,Inner Mongolia
P0129,WC_0053_0020_D,167.93,5,12.3964,2030,5831883.560312671,106.8149754842105,39.44216274385965,Inner Mongolia
P0129,WC_0053_0020_K,198.89,6,13.9444,2030,5288966.666678265,106.8149754842105,39.44216274385965,Inner Mongolia
P0130,WC_0058_0020_C,89.85,1,8.4925,2030,1158325.9999999988,116.8487413,39.9527554,Hebei
P0132,WC_0061_0022_A,43.03,1,6.1515,2030,3676242.481599999,122.82737375,45.5797501,Jilin
P0133,WC_0057_0016_E,97.34,2,8.8671,2030,24611543.059000004,116.06149366666666,32.906693999999995,Anhui
P0134,WC_0055_0018_D,55.88,1,6.7941,2030,5799422.018411329,111.00816366153846,37.48729852307692,Shanxi
P0135,WC_0060_0020_A,55.85,1,6.7923,2030,4065017.6999999993,120.3721705,41.560774,Liaoning
P0136,WC_0061_0022_A,124.45,1,10.2223,2030,885544.0000000012,122.04553733333334,46.07332433333334,Inner Mongolia
P0137,WC_0044_0021_K,87.77,1,8.3887,2030,1182988.7999999986,89.43194749999999,44.005311000000006,Xinjiang
P0138,WC_0063_0020_A,66.78,1,7.3388,2030,8734816.8,126.1607947,41.841904666666665,Jilin
P0139,WC_0064_0022_A,70.75,1,7.5376,2030,7819370.588250001,129.6441606666667,44.627998,Heilongjiang
P0141,WC_0060_0018_E,81.87,1,8.0936,2030,32962611.1575,120.34899307142857,37.63422128571428,Shandong
P0142,WC_0060_0016_F,87.45,1,8.3723,2030,301080.465,121.67171711111112,32.064600444444444,Jiangsu
P0143,WC_0051_0011_H,42.35,1,6.1177,2030,11452337.25360465,103.20416861428572,23.831920442857147,Yunnan
P0143,WC_0051_0012_H,96.8,2,8.84,2030,8717562.746395344,103.20416861428572,23.831920442857147,Yunnan
P0144,WC_0056_0018_D,106.82,1,9.3409,2030,5088484.833250002,113.53523736363633,37.83865712727273,Shanxi
P0145,WC_0061_0020_A,104.17,3,9.2085,2030,12868971.640799997,122.111451375,40.336695375000005,Liaoning
P0146,WC_0055_0018_D,156.42,2,11.8211,2030,3981370.000000002,110.60157317,35.60675549,Shanxi
P0147,WC_0056_0020_K,3.09,1,4.1545,2030,2467769.616000002,112.9491444,40.9942226,Inner Mongolia
P0148,WC_0060_0018_E,71.83,1,7.5914,2030,4462077.780837916,121.17031739999996,37.58648391999999,Shandong
P0148,WC_0061_0018_E,102.43,2,9.1214,2030,1089695.529631851,121.17031739999996,37.58648391999999,Shandong
P0149,WC_0054_0018_D,128.66,2,10.4328,2030,5340499.92,109.11732799999996,35.73940914285714,Shaanxi
