year,plant_id,province_name,capacity_mw,centroid_longitude,centroid_latitude,retirement_year,dominant_cooling,annual_generation_mwh,baseline_emissions_mt,share_unabated,share_retire,share_ccs,share_biomass,share_beccs,share_ammonia,dominant_pathway,captured_mt,biomass_use_gj,ammonia_use_kg,water_use_m3,air_cooled_share,already_air_share,biomass_blend_level,ammonia_blend_level,min_distance_to_storage_km
2030,P0022,Shandong,3645.0,120.11881293333334,35.99860965,2047,recirculating,15896209.500000002,13.034891790000001,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,21610896.81525,0.0,0.0,0.0,0.0,272.788
2030,P0023,Henan,5560.0,113.21201491428567,33.7993222857143,2046,recirculating,20013776.0,16.411296319999998,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,31929978.2304,0.0,0.0,0.0,0.0,152.704
2030,P0024,Chongqing,1229.0,107.31146671428574,29.655601142857147,2054,recirculating,5892071.800000001,4.831498876,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,11171957.33997999,0.0,0.0,0.0,0.0,192.763
2030,P0025,Jilin,4300.0,125.24796920000004,43.81222732,2050,recirculating,15572020.000000002,12.7690564,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,28258544.693999946,0.0,0.0,0.0,0.0,67.074
2030,P0026,Hainan,2100.0,108.65169856666664,18.879123466666663,2052,once-through,10564890.0,8.663209799999999,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.127
2030,P0027,Shandong,13365.0,116.036756325,36.48592403125,2052,recirculating,58286101.50000001,47.79460323000001,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,84893706.83475001,0.0,0.0,0.0,0.0,120.662
2030,P0028,Hunan,5740.0,113.13893942,27.64443306,2050,once-through,22425606.0,18.388996919999997,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,20947758.564600002,0.0,0.0,0.0,0.0,346.954
2030,P0029,Jilin,120.0,127.02565466666664,44.58916933333334,2058,recirculating,434568.0,0.35634575999999996,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,873481.6799999999,0.0,0.0,0.0,0.0,220.351
2030,P0030,Jilin,4481.0,126.50366462499998,43.90009873333333,2048,recirculating,16227493.4,13.306544588,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,22625994.047620002,0.0,0.299,0.0,0.0,154.16
2030,P0031,Shanxi,4900.0,111.5960795,36.44789901666667,2051,Air,22684550.0,18.601331,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,5826361.83634024,0.8147017059104188,0.7551,0.0,0.0,129.91
